,correlation,pvalue,predictor,feature,mean_correlation,max_pvalue,bonferroni_corrected_max_pvalue,bonferroni_max_significant
0,0.3516263062067644,4.2626135764398194e-08,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
1,0.3709952661699729,6.977703540886461e-09,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
2,0.3004860249293863,3.661336557406889e-06,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
3,0.1878945436633441,0.004327353971494,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
4,0.318466453513996,8.58209422102361e-07,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
5,0.2991043157028124,3.8825329699983945e-06,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
6,0.2368352925462188,0.0002992649110608,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
7,0.3579993214273034,2.493888722799125e-08,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
8,0.3515579402319985,4.592185227493502e-08,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
9,0.2243098885547192,0.0006272999666897,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
10,0.3123684569447002,1.3451013196253713e-06,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
11,0.1869037628233417,0.0045405638786527,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
12,0.3162705570952196,1.0298577608921656e-06,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
13,0.2819214065252256,1.4838384298164337e-05,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
14,0.3581711659428313,2.4531405065625734e-08,Accessibility BEpro,semantic_score,0.29699404681852226,0.0045405638786527,0.0635678943011378,
15,0.4583155279830041,2.402462523271524e-13,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
16,0.443704664016727,1.8276452578882333e-12,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
17,0.4324586090696668,7.475719616522694e-12,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
18,0.4633448222901977,1.3744510390713391e-13,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
19,0.4981158881548128,9.192717178454145e-16,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
20,0.5233137086108571,1.4301200617227365e-17,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
21,0.4460262340510426,1.357620760412515e-12,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
22,0.4443458440982307,1.6839556601090126e-12,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
23,0.4471127890636034,1.180355938798196e-12,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
24,0.4154912355286314,5.688185319851007e-11,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
25,0.5000451981552962,5.915563308924406e-16,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
26,0.4066873045871313,1.5603024331885956e-10,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
27,0.4707118204688046,4.9855330807851946e-14,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
28,0.501119514937963,5.804454126023471e-16,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
29,0.3698083220448854,7.857063268745651e-09,Accessibility BEpro,relative_grammaticality,0.4547067655373903,7.857063268745651e-09,1.0999888576243912e-07,*
30,0.4556586639190475,3.4280220931963593e-13,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
31,0.4990873877306242,7.926335108672677e-16,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
32,0.5457942221240369,3.539569767307923e-19,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
33,0.5104873449119962,1.3434883613314114e-16,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
34,0.4936248473153349,1.8129268488720376e-15,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
35,0.5314062093893748,3.660214199787636e-18,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
36,0.5518083766512886,1.1986382892250878e-19,Accessibility BEpro,relative_sequence_grammaticality,0.5036642797491975,1.7818569022242009e-12,2.494599663113881e-11,*
