,correlation,pvalue,predictor,feature,mean_correlation,max_pvalue,bonferroni_corrected_max_pvalue,bonferroni_max_significant
0,0.4372950347646152,3.683927295930457e-12,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
1,0.484418087345584,7.074020066650387e-15,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
2,0.3775268542570396,3.599991346211317e-09,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
3,0.3279146186570427,3.851645188205402e-07,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
4,0.5699589963034645,3.985122017066792e-21,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
5,0.459112475776406,2.158170678775628e-13,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
6,0.488279366591107,4.016449833412278e-15,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
7,0.476776609721338,2.123883469171597e-14,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
8,0.434366773826948,5.907892393500887e-12,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
9,0.4943765694190423,1.6192497960897065e-15,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
10,0.40424634966738,1.8741655428164574e-10,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
11,0.4435468255691132,1.864809840225872e-12,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
12,0.4181610165486319,4.164290133684094e-11,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
13,0.4898123288968092,3.201745473598415e-15,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
14,0.5370895574192033,1.6334500383913837e-18,Accessibility BEpro,semantic_score,0.45619209765091495,3.851645188205402e-07,5.392303263487563e-06,*
15,0.5771119815474739,8.008576811757704e-22,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
16,0.5539256820198931,8.144512934586922e-20,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
17,0.5203226933390855,2.75201228488904e-17,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
18,0.5743060538209598,1.708900428620693e-21,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
19,0.5766587806071661,1.0750068215588249e-21,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
20,0.6385843139790814,9.480205423094114e-28,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
21,0.4945766256693538,1.571214510237798e-15,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
22,0.5545503670459798,7.263115062443444e-20,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
23,0.4862004088353351,5.452317830220334e-15,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
24,0.515237041088837,6.287506255272225e-17,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
25,0.5815938753531079,3.260319003607518e-22,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
26,0.5299712269519914,5.522595493685452e-18,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
27,0.5704504396455644,3.6236127611197926e-21,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
28,0.5798420951395593,5.707522605767984e-22,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
29,0.5001523529467152,6.733995292518259e-16,Accessibility BEpro,relative_grammaticality,0.5502322625326737,5.452317830220334e-15,7.633244962308467e-14,*
30,0.4537108607054962,4.4399861222232317e-13,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
31,0.5246313248607312,1.3518024788644174e-17,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
32,0.589715001964724,7.660840736613121e-23,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
33,0.5559188562645762,5.646614648074074e-20,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
34,0.5477091009817342,2.513306200151965e-19,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
35,0.5466192217804476,2.552634999757717e-19,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
36,0.6069465312272153,1.9432434959679502e-24,Accessibility BEpro,relative_sequence_grammaticality,0.5368983155660343,4.743977372780418e-13,6.641568321892586e-12,*
