model,correlation,pvalue,predictor,feature
SVR-RBF,0.540680003764218,8.739510712240272e-19,Accessibility,relative_sequence_grammaticality
Linear,0.4892516098097293,3.479016257047391e-15,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.514407860248589,7.18483115672878e-17,Accessibility,relative_sequence_grammaticality
Linear,0.459300039578297,2.1042998593160824e-13,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.45321018512368416,4.743977372780418e-13,Accessibility,relative_sequence_grammaticality
Linear,0.46462140891524534,1.1549587785440612e-13,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.5075687789480356,2.129745879178369e-16,Accessibility,relative_sequence_grammaticality
Linear,0.4971948714088141,1.0575041021611227e-15,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.5289275133835939,6.586737799320715e-18,Accessibility,relative_sequence_grammaticality
Linear,0.5783146105571106,7.740346697772166e-22,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.5913149988912342,5.496824468329984e-23,Accessibility,relative_sequence_grammaticality
Linear,0.5085602270864923,1.822088961106424e-16,Accessibility,relative_sequence_grammaticality
SVR-RBF,0.6031880085787492,4.414176951415074e-24,Accessibility,relative_sequence_grammaticality
Linear,0.25090646451514176,0.00011998411988266609,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4041770189932652,1.8888424135924944e-10,Accessibility,relative_grammaticality_with_eve
Linear,0.38942932467443775,1.0374212344089974e-09,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.417167659367613,4.678120454338892e-11,Accessibility,relative_grammaticality_with_eve
Linear,0.3204456302829211,7.272486321291079e-07,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.3870666842784008,1.3333451773797584e-09,Accessibility,relative_grammaticality_with_eve
Linear,0.23309760308140168,0.00037478482366991664,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.421593429019816,2.777546309759015e-11,Accessibility,relative_grammaticality_with_eve
Linear,0.36268688485975736,1.5855809532758553e-08,Accessibility,relative_grammaticality_with_eve
