model,correlation,pvalue,predictor,feature
Linear,0.051950512139694496,0.08446565053517273,Escape,masked_grammaticality
SVR-RBF,0.038742433158238415,0.19833840660984567,Escape,masked_grammaticality
Linear,0.06907643344878098,0.02171537479561981,Escape,masked_grammaticality
SVR-RBF,0.05487744354292561,0.0683498832919018,Escape,masked_grammaticality
Linear,0.04254450388917426,0.15776071870771718,Escape,masked_grammaticality
SVR-RBF,-0.004710938059091056,0.8757559572777956,Escape,masked_grammaticality
Linear,0.06554373937466003,0.029431091173527754,Escape,masked_grammaticality
SVR-RBF,0.051907737480490754,0.08472217312781137,Escape,masked_grammaticality
Linear,0.062422427570715255,0.038189970337129044,Escape,masked_grammaticality
SVR-RBF,0.03734082317141589,0.21528304401394643,Escape,masked_grammaticality
Linear,0.07748723152501101,0.010007046358329656,Escape,mutated_grammaticality
SVR-RBF,0.0727159797622895,0.015667953725843144,Escape,mutated_grammaticality
Linear,0.07330009624266472,0.014849707205932969,Escape,mutated_grammaticality
SVR-RBF,0.06673571944139095,0.026598885341533946,Escape,mutated_grammaticality
Linear,0.046920443230966745,0.11921097577012922,Escape,mutated_grammaticality
SVR-RBF,0.04209110410474101,0.16224074922840648,Escape,mutated_grammaticality
Linear,0.08374229545094813,0.00536595117277318,Escape,mutated_grammaticality
SVR-RBF,0.07181901780703176,0.017001584754809885,Escape,mutated_grammaticality
Linear,0.007414094500437538,0.8057155433961689,Escape,mutated_grammaticality
SVR-RBF,-0.0028785833280120664,0.9239226887395785,Escape,mutated_grammaticality
Linear,0.0413408731477522,0.1698633331938396,Escape,mutated_grammaticality
SVR-RBF,0.032419934136837525,0.2818094670050494,Escape,mutated_grammaticality
Linear,0.0383081389996402,0.203419263697789,Escape,mutated_grammaticality
SVR-RBF,0.01893963928141211,0.5295838947729703,Escape,mutated_grammaticality
Linear,0.06899052248915535,0.021879787303726046,Escape,mutated_grammaticality
SVR-RBF,0.06565359351592868,0.02915965700226263,Escape,mutated_grammaticality
Linear,0.07650078053152976,0.010999956868767442,Escape,mutated_grammaticality
SVR-RBF,-0.018847042695224504,0.5315987702723832,Escape,mutated_grammaticality
Linear,0.0575925146217239,0.0558570797615393,Escape,mutated_grammaticality
SVR-RBF,0.05466373777058334,0.06956077891497642,Escape,mutated_grammaticality
Linear,0.046288893741549056,0.1242689838483417,Escape,mutated_grammaticality
SVR-RBF,0.032970493304802326,0.27371360921148263,Escape,mutated_grammaticality
Linear,0.02374433753266073,0.4306040014788751,Escape,mutated_grammaticality
SVR-RBF,0.021325032133916077,0.4790484149734515,Escape,mutated_grammaticality
Linear,0.07657596016015873,0.010921318245151532,Escape,mutated_grammaticality
SVR-RBF,0.07704872429643536,0.010438137657916013,Escape,mutated_grammaticality
Linear,0.05089305704266063,0.09099397319438483,Escape,mutated_grammaticality
SVR-RBF,0.036039018512491916,0.23150834443508314,Escape,mutated_grammaticality
Linear,0.08208211671494813,0.006380111839593891,Escape,mutated_grammaticality
SVR-RBF,0.08504048455801985,0.0047098572861498135,Escape,mutated_grammaticality
Linear,0.024260053875197453,0.4355958014488902,Escape,Evescape Fitness
SVR-RBF,0.016087799991029727,0.6051733795940645,Escape,Evescape Fitness
Linear,0.0632114211713148,0.04203464056673042,Escape,Evescape Fitness
SVR-RBF,0.05874753913339717,0.058846341456654086,Escape,Evescape Fitness
Linear,0.05939542136755811,0.05622506887871976,Escape,Evescape Fitness
SVR-RBF,0.05414381951822123,0.08182174549172046,Escape,Evescape Fitness
Linear,0.05399566939703839,0.08266224343499064,Escape,Evescape Fitness
SVR-RBF,0.05778178147043881,0.06326450540941207,Escape,Evescape Fitness
Linear,0.05737202135958778,0.06516348185788541,Escape,Evescape Fitness
SVR-RBF,0.03806354851330708,0.22135642463180932,Escape,Evescape Fitness
Linear,0.05985231978029964,0.05423775082735134,Escape,Evescape Fitness
SVR-RBF,0.07108497277967699,0.022193817273069696,Escape,Evescape Fitness
Linear,0.06402985882822633,0.039441039949628116,Escape,Evescape Fitness
SVR-RBF,0.04051517168884842,0.19278305417477018,Escape,Evescape Fitness
Linear,0.05042475488731902,0.1051202830735463,Escape,Evescape Fitness
SVR-RBF,0.051560222450936284,0.09750721249232724,Escape,Evescape Fitness
Linear,0.01987056761584855,0.5233138512973141,Escape,Evescape Fitness
SVR-RBF,0.023433729666702343,0.45161585312729813,Escape,Evescape Fitness
Linear,0.06103844697816344,0.04973919372142005,Escape,Evescape Fitness
SVR-RBF,0.01654764657508614,0.5950745920063152,Escape,Evescape Fitness
Linear,0.020523697899120882,0.5095439270321728,Escape,Evescape Fitness
SVR-RBF,0.018262965029206376,0.5572813488404549,Escape,Evescape Fitness
Linear,0.0902297287739515,0.0036697379628585873,Escape,Evescape Fitness
SVR-RBF,0.07041691314195743,0.02348281400702136,Escape,Evescape Fitness
Linear,0.024034611308717216,0.4400963361535656,Escape,Evescape Fitness
SVR-RBF,0.04018477121586148,0.1966569247706248,Escape,Evescape Fitness
Linear,0.07259931696121708,0.01955638507709536,Escape,Evescape Fitness
SVR-RBF,0.03977941377163864,0.20121404462755757,Escape,Evescape Fitness
Linear,0.04859037980746398,0.11840619245719942,Escape,Evescape Fitness
SVR-RBF,0.03293372514591645,0.2900469396885102,Escape,Evescape Fitness
Linear,0.05647854884291202,0.06066133795714498,Escape,Evescape
SVR-RBF,0.09334892287232274,0.0019032678117700983,Escape,Evescape
Linear,0.12441250777746139,3.394825942561693e-05,Escape,Evescape
SVR-RBF,0.12605465917183223,2.664734244962637e-05,Escape,Evescape
Linear,0.10503794073730946,0.0004727081453450394,Escape,Evescape
SVR-RBF,0.10108220447192229,0.0007698298260972468,Escape,Evescape
Linear,0.1087380618615495,0.0002950253213156347,Escape,Evescape
SVR-RBF,0.09440537070348466,0.0016882002498428683,Escape,Evescape
Linear,0.10382909392627994,0.0005528647972506766,Escape,Evescape
SVR-RBF,0.0969001398965675,0.0012724156325750991,Escape,Evescape
Linear,0.14885374726264972,6.765148915874553e-07,Escape,Evescape
SVR-RBF,0.14377884219483494,1.6122163581857484e-06,Escape,Evescape
Linear,0.07092932759740117,0.01842164378944905,Escape,Evescape
SVR-RBF,0.06314866736942681,0.035911675697912815,Escape,Evescape
Linear,0.09808153849128867,0.0011020668530081596,Escape,Evescape
SVR-RBF,0.10120793239732782,0.0007581846416710451,Escape,Evescape
Linear,0.09435700031655017,0.001697538002283807,Escape,Evescape
SVR-RBF,0.07193371162015826,0.016825685719874632,Escape,Evescape
Linear,0.08765301162279697,0.0035752634611437234,Escape,Evescape
SVR-RBF,0.10627888541723304,0.0004067101235854639,Escape,Evescape
Linear,0.1319333967199559,1.09275069430191e-05,Escape,Evescape
SVR-RBF,0.1065252787424473,0.0003918025264048063,Escape,Evescape
Linear,0.07223178400777718,0.016375990088886957,Escape,Evescape
SVR-RBF,0.07966411561095806,0.008092869960119556,Escape,Evescape
Linear,0.12168787468714137,5.0402073749589284e-05,Escape,Evescape
SVR-RBF,0.1014842675060688,0.0007331616473162151,Escape,Evescape
Linear,0.10589487055135154,0.000424373584788313,Escape,Evescape
SVR-RBF,0.11627315413517451,0.00010789587748858446,Escape,Evescape
Linear,0.062253807179877885,0.038715330256116724,Escape,Evescape
SVR-RBF,0.05064357345293141,0.09274001513056364,Escape,Evescape
Linear,-0.04550980401780777,0.1588462213064464,Escape,IND Mutability Score
SVR-RBF,0.015525871175359508,0.6309047913250967,Escape,IND Mutability Score
Linear,-0.022138676842404375,0.493486400084461,Escape,IND Mutability Score
SVR-RBF,-0.025630668836495337,0.4278835426661476,Escape,IND Mutability Score
Linear,-0.04665339326969424,0.14883708911052224,Escape,IND Mutability Score
SVR-RBF,-0.0038001282957240597,0.9064414429509421,Escape,IND Mutability Score
Linear,-0.014650364361625498,0.6504615691963995,Escape,IND Mutability Score
SVR-RBF,0.046323754012298525,0.15173217150435786,Escape,IND Mutability Score
Linear,-0.031013957981774667,0.33735229009065626,Escape,IND Mutability Score
SVR-RBF,0.01327629728284686,0.6813522174705315,Escape,IND Mutability Score
Linear,-0.003124732302177944,0.9229722741873192,Escape,IND Mutability Score
SVR-RBF,0.047143989501777624,0.14439684767022093,Escape,IND Mutability Score
Linear,0.00750527308681609,0.8164437442140016,Escape,IND Mutability Score
SVR-RBF,-0.05060325796843929,0.11734221632826553,Escape,IND Mutability Score
Linear,-0.04300922154767401,0.18326257572857269,Escape,IND Mutability Score
SVR-RBF,-0.01587963525806982,0.6233233392598276,Escape,IND Mutability Score
Linear,-0.00854332527130046,0.7916049180067983,Escape,IND Mutability Score
SVR-RBF,0.014549067433079117,0.6527192967688471,Escape,IND Mutability Score
Linear,-0.06596492240910366,0.04111740964667041,Escape,IND Mutability Score
SVR-RBF,0.03464121870331143,0.28386276711544034,Escape,IND Mutability Score
Linear,0.014346163436560845,0.6570835493392254,Escape,IND Mutability Score
SVR-RBF,0.012017190113964436,0.7099916247408775,Escape,IND Mutability Score
Linear,-0.037168277537955416,0.25017964021206723,Escape,IND Mutability Score
SVR-RBF,0.03847157439300544,0.23394265963874525,Escape,IND Mutability Score
Linear,-0.006477852054591704,0.8412109188152275,Escape,IND Mutability Score
SVR-RBF,0.05116925314138312,0.11329248367973549,Escape,IND Mutability Score
Linear,-0.002637204008848261,0.9349951497242515,Escape,IND Mutability Score
SVR-RBF,-0.004533392437456331,0.8884968577631969,Escape,IND Mutability Score
Linear,-0.02832539876464439,0.3809186309677436,Escape,IND Mutability Score
SVR-RBF,-0.04516656063717424,0.16223481780965385,Escape,IND Mutability Score
Linear,0.05259525800119558,0.10339590022897586,Escape,DCA Mutability Score
SVR-RBF,-0.0102160455613899,0.7519050170256041,Escape,DCA Mutability Score
Linear,0.03314655757745727,0.3051667045411407,Escape,DCA Mutability Score
SVR-RBF,-0.008343944208443086,0.7963602460294981,Escape,DCA Mutability Score
Linear,-0.021638272538052162,0.5033089149271871,Escape,DCA Mutability Score
SVR-RBF,0.03143796536898295,0.33078549702783944,Escape,DCA Mutability Score
Linear,-0.045037594483382744,0.1634384284597322,Escape,DCA Mutability Score
SVR-RBF,0.051518280682814374,0.11085049473955629,Escape,DCA Mutability Score
Linear,-0.03026812338884328,0.34910486955912645,Escape,DCA Mutability Score
SVR-RBF,0.030189433552641663,0.3503597983482062,Escape,DCA Mutability Score
Linear,-0.03590863957012783,0.2663543006478727,Escape,DCA Mutability Score
SVR-RBF,0.040233136077018235,0.212963336237811,Escape,DCA Mutability Score
Linear,-0.0218471913420104,0.4991955196940945,Escape,DCA Mutability Score
SVR-RBF,0.055346240516200226,0.08670795531213606,Escape,DCA Mutability Score
Linear,-0.02420730973324727,0.45399142444491314,Escape,DCA Mutability Score
SVR-RBF,0.000955587997369336,0.976422912971025,Escape,DCA Mutability Score
Linear,-0.04625837310416123,0.15231143926810017,Escape,DCA Mutability Score
SVR-RBF,-0.01956532183904425,0.5450718841106619,Escape,DCA Mutability Score
Linear,0.01749392156349295,0.5884512018547938,Escape,DCA Mutability Score
SVR-RBF,0.008370804691327356,0.795719166986158,Escape,DCA Mutability Score
Linear,-0.025544312591100696,0.42920114124632913,Escape,DCA Mutability Score
SVR-RBF,0.06090174264540585,0.05925937311134902,Escape,DCA Mutability Score
Linear,0.03569667442585851,0.2694391631073193,Escape,DCA Mutability Score
SVR-RBF,-0.0018648584911495135,0.9540073834985796,Escape,DCA Mutability Score
Linear,0.027510931704728663,0.39476884912803567,Escape,DCA Mutability Score
SVR-RBF,-0.03839507156491927,0.2348746575050527,Escape,DCA Mutability Score
Linear,-0.03941506232093743,0.22266328660683213,Escape,DCA Mutability Score
SVR-RBF,0.04588188192020853,0.15567986053124533,Escape,DCA Mutability Score
Linear,-0.0108768555833383,0.7365676500164731,Escape,DCA Mutability Score
SVR-RBF,0.04664047281361601,0.14894976542677554,Escape,DCA Mutability Score
Linear,0.19562088279927933,5.5317678003440955e-11,Escape,Mean_Embedding
SVR-RBF,0.24926400262914072,4.249045571362929e-17,Escape,Mean_Embedding
Linear,0.20931711015318893,2.1413452926470292e-12,Escape,Mean_Embedding
SVR-RBF,0.24252058823664865,3.051611559782665e-16,Escape,Mean_Embedding
Linear,0.21343615064266602,7.697524412899496e-13,Escape,Mean_Embedding
SVR-RBF,0.21866079589891022,2.0395933474858785e-13,Escape,Mean_Embedding
Linear,0.20743249450994608,3.395804259036246e-12,Escape,Mean_Embedding
SVR-RBF,0.291143031479182,5.213886348036479e-23,Escape,Mean_Embedding
Linear,0.17657641192726736,3.544498713822932e-09,Escape,Mean_Embedding
SVR-RBF,0.23592869181335677,2.0384866323348073e-15,Escape,Mean_Embedding
Linear,0.1983574530383327,2.942197058499449e-11,Escape,Mean_Embedding
SVR-RBF,0.23125558090496637,7.205901864048438e-15,Escape,Mean_Embedding
Linear,0.19771109154099092,3.418151197141134e-11,Escape,Mean_Embedding
SVR-RBF,0.265159725434353,3.2106786247177844e-19,Escape,Mean_Embedding
Linear,0.20865847535305931,2.5170325890888153e-12,Escape,Mean_Embedding
SVR-RBF,0.2521413703065831,1.7990667606806526e-17,Escape,Mean_Embedding
Linear,0.2129064537713383,8.790311637282981e-13,Escape,Mean_Embedding
SVR-RBF,0.1923651012195889,1.15860861796204e-10,Escape,Mean_Embedding
Linear,0.18162070922573662,1.2349100101743708e-09,Escape,Mean_Embedding
SVR-RBF,0.24399866576304424,2.0539120910393512e-16,Escape,Mean_Embedding
Linear,0.21388289242222455,6.880324591783299e-13,Escape,Mean_Embedding
SVR-RBF,0.26463773855866013,3.7896809414308273e-19,Escape,Mean_Embedding
Linear,0.16100554594437394,7.501830303400398e-08,Escape,Mean_Embedding
SVR-RBF,0.19330783282231567,9.365727742614653e-11,Escape,Mean_Embedding
Linear,0.20163474438964424,1.3648495211624292e-11,Escape,Mean_Embedding
SVR-RBF,0.2907024634359007,6.092834612309948e-23,Escape,Mean_Embedding
Linear,0.146578811312729,1.0021087907407248e-06,Escape,Mean_Embedding
SVR-RBF,0.21636621699080577,3.670228303951097e-13,Escape,Mean_Embedding
Linear,0.1987200269574775,2.7604800051789777e-11,Escape,Mean_Embedding
SVR-RBF,0.22797852446722583,1.8015273811736724e-14,Escape,Mean_Embedding
Linear,0.1990341012930305,2.5134139301147593e-11,Escape,Logits
SVR-RBF,0.2689088326143914,9.654195994575479e-20,Escape,Logits
Linear,0.18796221886343847,3.0852276712457246e-10,Escape,Logits
SVR-RBF,0.20720715007691612,3.587234810546468e-12,Escape,Logits
Linear,0.1669845773461976,2.3878525376342058e-08,Escape,Logits
SVR-RBF,0.21931747308429086,1.721851435409657e-13,Escape,Logits
Linear,0.1894142157366797,2.239414474359282e-10,Escape,Logits
SVR-RBF,0.28577338964032806,3.4171666095092276e-22,Escape,Logits
Linear,0.20167913127903167,1.3795391266311461e-11,Escape,Logits
SVR-RBF,0.2836544038245484,7.403639459124857e-22,Escape,Logits
Linear,0.1978052691957943,3.344389333650429e-11,Escape,Logits
SVR-RBF,0.2589870114999903,2.2279170929183865e-18,Escape,Logits
Linear,0.17625243765975757,3.72801668806449e-09,Escape,Logits
SVR-RBF,0.23627712615135948,1.796230895536631e-15,Escape,Logits
Linear,0.1886749164494801,2.637078931596184e-10,Escape,Logits
SVR-RBF,0.2058122535975586,5.03018860023109e-12,Escape,Logits
Linear,0.2282297495221747,1.638572728393032e-14,Escape,Logits
SVR-RBF,0.28611057446202615,3.0402718669605735e-22,Escape,Logits
Linear,0.17204794148798996,8.902622218239879e-09,Escape,Logits
SVR-RBF,0.2430022356337072,2.7392823995806767e-16,Escape,Logits
Linear,0.13988654539883205,3.076695261032242e-06,Escape,Logits
SVR-RBF,0.19921016169653813,2.4122644608139762e-11,Escape,Logits
Linear,0.16569837290498626,3.065368160059156e-08,Escape,Logits
SVR-RBF,0.24824784140279635,5.740812193613198e-17,Escape,Logits
Linear,0.20277966378566079,1.0404033383524328e-11,Escape,Logits
SVR-RBF,0.2796052800391268,2.8179319880621917e-21,Escape,Logits
Linear,0.11619057948806064,0.00010912840330812267,Escape,Logits
SVR-RBF,0.2204165164023435,1.2953178494156583e-13,Escape,Logits
Linear,0.21555521008995698,4.620741964322825e-13,Escape,Logits
SVR-RBF,0.27043870649089,6.110240104743488e-20,Escape,Logits
Linear,0.1335963887481262,0.0003186202912628565,RBD Escape,semantic_score
SVR-RBF,0.10609744613549725,0.0043177439864901974,RBD Escape,semantic_score
Linear,0.08795121059794282,0.01809143839999081,RBD Escape,semantic_score
SVR-RBF,0.06648532632008103,0.07420539094238275,RBD Escape,semantic_score
Linear,0.049513090339543285,0.18417621414231328,RBD Escape,semantic_score
SVR-RBF,0.07354132008611206,0.04838881916359544,RBD Escape,semantic_score
Linear,0.03582551165855364,0.3367503251662838,RBD Escape,semantic_score
SVR-RBF,0.041173001486854585,0.2695478159872558,RBD Escape,semantic_score
Linear,0.008336919201427175,0.8231667862027281,RBD Escape,semantic_score
SVR-RBF,0.05737533025204811,0.12375415267646035,RBD Escape,semantic_score
Linear,0.06865658326722884,0.06521434677499426,RBD Escape,semantic_score
SVR-RBF,0.12365647717378413,0.0008694372881516038,RBD Escape,semantic_score
Linear,0.05624427197028248,0.13107823846897856,RBD Escape,semantic_score
SVR-RBF,0.08923539562357127,0.016467234779724726,RBD Escape,semantic_score
Linear,0.09016024988377945,0.015449545662978272,RBD Escape,semantic_score
SVR-RBF,0.09229649878400652,0.01316449739283486,RBD Escape,semantic_score
Linear,0.0517792629248133,0.16487310049037432,RBD Escape,semantic_score
SVR-RBF,0.0350904407159954,0.3467643596234917,RBD Escape,semantic_score
Linear,0.04006945058097466,0.2826043357784316,RBD Escape,semantic_score
SVR-RBF,0.010846706700322598,0.7712402812102146,RBD Escape,semantic_score
Linear,0.1141975969444195,0.0021174923202099336,RBD Escape,semantic_score
SVR-RBF,0.07073171046657346,0.05747883046315767,RBD Escape,semantic_score
Linear,0.08689639784617713,0.019528576614697698,RBD Escape,semantic_score
SVR-RBF,0.10502130310138319,0.0047302128704072,RBD Escape,semantic_score
Linear,0.06002214913881535,0.1073243089029512,RBD Escape,semantic_score
SVR-RBF,0.07507450281298544,0.043883113000827485,RBD Escape,semantic_score
Linear,0.0028913943007749313,0.938222957096915,RBD Escape,semantic_score
SVR-RBF,0.02809409189811524,0.4513257181109672,RBD Escape,semantic_score
Linear,0.053117015840572296,0.1542150904658732,RBD Escape,semantic_score
SVR-RBF,0.07228396105234983,0.052367611147903614,RBD Escape,semantic_score
Linear,0.009342297004541261,0.80212448264472,RBD Escape,relative_grammaticality
SVR-RBF,0.07927364362559895,0.03319232845592705,RBD Escape,relative_grammaticality
Linear,0.007596529770306814,0.8385344414011331,RBD Escape,relative_grammaticality
SVR-RBF,0.07057943329393394,0.05801933303716156,RBD Escape,relative_grammaticality
Linear,-0.0530395674930812,0.15481752183772166,RBD Escape,relative_grammaticality
SVR-RBF,0.027971307932580555,0.4533067759431947,RBD Escape,relative_grammaticality
Linear,-0.021544567858071337,0.5635571503200728,RBD Escape,relative_grammaticality
SVR-RBF,0.03155909702718728,0.39747032824655326,RBD Escape,relative_grammaticality
Linear,-0.008517397223257428,0.8194039088086349,RBD Escape,relative_grammaticality
SVR-RBF,0.03814134211358749,0.30642830890949124,RBD Escape,relative_grammaticality
Linear,0.014736052661629457,0.6926259431881852,RBD Escape,relative_grammaticality
SVR-RBF,0.061108628512105516,0.10086368118857081,RBD Escape,relative_grammaticality
Linear,0.013656689360673567,0.7141134024906277,RBD Escape,relative_grammaticality
SVR-RBF,0.03309546348734716,0.3745518123969851,RBD Escape,relative_grammaticality
Linear,-0.0076691473189872995,0.8371241622040917,RBD Escape,relative_grammaticality
SVR-RBF,0.013161608671653583,0.7242306804412103,RBD Escape,relative_grammaticality
Linear,0.02662487849670164,0.4753493070003022,RBD Escape,relative_grammaticality
SVR-RBF,0.0654793921441314,0.0789090385553486,RBD Escape,relative_grammaticality
Linear,-0.007290710168369313,0.8450571032893703,RBD Escape,relative_grammaticality
SVR-RBF,0.0422851008461368,0.2568142028698668,RBD Escape,relative_grammaticality
Linear,0.007815507915551403,0.8339467208980487,RBD Escape,relative_grammaticality
SVR-RBF,0.06752075370313548,0.06979903858243926,RBD Escape,relative_grammaticality
Linear,0.02563174581139334,0.49167565606608254,RBD Escape,relative_grammaticality
SVR-RBF,0.05575131607284122,0.13449487494642665,RBD Escape,relative_grammaticality
Linear,-0.0572376905472675,0.12465936310825634,RBD Escape,relative_grammaticality
SVR-RBF,0.034089663351019345,0.36069892500430156,RBD Escape,relative_grammaticality
Linear,-0.024286796449478315,0.5149818962782354,RBD Escape,relative_grammaticality
SVR-RBF,0.03315314346161776,0.3740517092200537,RBD Escape,relative_grammaticality
Linear,-0.01652175917566015,0.6578427221041219,RBD Escape,relative_grammaticality
SVR-RBF,0.07038361104601053,0.05889645683707036,RBD Escape,relative_grammaticality
Linear,0.017112355338671833,0.646200499246907,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.08074585145915886,0.030050080028805534,RBD Escape,relative_sequence_grammaticality
Linear,-0.03021244809940128,0.4176019317728864,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.0341486663778895,0.35953368538572517,RBD Escape,relative_sequence_grammaticality
Linear,0.016355993210766924,0.6610605922377017,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.04978268798391663,0.18179596182099578,RBD Escape,relative_sequence_grammaticality
Linear,0.07425830160480404,0.04623566839826703,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.003502048427148607,0.9252106909278472,RBD Escape,relative_sequence_grammaticality
Linear,0.008674407296806382,0.8161336954392044,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.008727747086410047,0.8150234554218553,RBD Escape,relative_sequence_grammaticality
Linear,-0.005159457495975586,0.8899277494750657,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.012028541959257285,0.7469532991545624,RBD Escape,relative_sequence_grammaticality
Linear,-0.00035858150112900647,0.9923257364151524,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.024677048679594926,0.5079547890545373,RBD Escape,relative_sequence_grammaticality
Linear,0.028286416091326937,0.4482325107247568,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.0598007217840206,0.10862907726418847,RBD Escape,relative_sequence_grammaticality
Linear,0.04658755174175706,0.21150017865391382,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.008220650893350232,0.8255930794083037,RBD Escape,relative_sequence_grammaticality
Linear,0.01083542134120215,0.7714716843414172,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.03060364074165556,0.4119206990588429,RBD Escape,relative_sequence_grammaticality
Linear,0.005435268663846506,0.8840840062191465,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.0011645250668930773,0.9750808123389448,RBD Escape,relative_sequence_grammaticality
Linear,0.05402321291110841,0.14701648080113683,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.027727852791972575,0.4569363079294887,RBD Escape,relative_sequence_grammaticality
Linear,0.04204867502329775,0.2594857942106023,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.001556891127822467,0.9667121334284875,RBD Escape,relative_sequence_grammaticality
Linear,-0.02756404042403628,0.45991277748549686,RBD Escape,relative_sequence_grammaticality
SVR-RBF,-0.08580526316922699,0.021208701890373546,RBD Escape,relative_sequence_grammaticality
Linear,0.012960240285188593,0.7282818691764319,RBD Escape,relative_sequence_grammaticality
SVR-RBF,0.04464919823227905,0.2311458481328855,RBD Escape,relative_sequence_grammaticality
Linear,0.22046177956951438,2.1325349615657003e-09,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.21796298003557313,3.2622956222233624e-09,RBD Escape,relative_grammaticality_with_eve
Linear,0.20623814788361272,2.2413734510038394e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.20887184790277966,1.4678729074031445e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.1978802076729893,8.451665290759325e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.19494210103695622,1.3196668471614304e-07,RBD Escape,relative_grammaticality_with_eve
Linear,0.19729859267483985,9.236027160588045e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.20729055008497224,1.9371838240442995e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.19615406041931605,1.0989913380387354e-07,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.2040392883076367,3.2483588242951505e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.1957703995016812,1.1413952281511108e-07,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.2005277539096311,5.5059428542837794e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.2011355234793242,5.0098477360429605e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.19253227771498346,1.8557033392263035e-07,RBD Escape,relative_grammaticality_with_eve
Linear,0.2283388914288788,5.549714463370662e-10,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.2334272062373614,2.2266078906282795e-10,RBD Escape,relative_grammaticality_with_eve
Linear,0.19087905635319777,2.416783310702446e-07,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.1898875638252504,2.795834147947052e-07,RBD Escape,relative_grammaticality_with_eve
Linear,0.20268930502034335,4.0160955384681e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.19094901279770707,2.3919977039453856e-07,RBD Escape,relative_grammaticality_with_eve
Linear,0.17474964537608498,2.3148823059326842e-06,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.16690179131487973,6.527197653192758e-06,RBD Escape,relative_grammaticality_with_eve
Linear,0.20241671142492168,4.101700217643893e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.19720255738288336,9.18208288400151e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.1906315674213638,2.506471595322183e-07,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.1939119323602824,1.5403537531381787e-07,RBD Escape,relative_grammaticality_with_eve
Linear,0.20719389172983557,1.9674228993046136e-08,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.20915782686148174,1.4341077622728059e-08,RBD Escape,relative_grammaticality_with_eve
Linear,0.24877049547732383,1.2436500996597783e-11,RBD Escape,relative_grammaticality_with_eve
SVR-RBF,0.2560277802323898,2.9635124264595363e-12,RBD Escape,relative_grammaticality_with_eve
Linear,-0.005342980657626633,0.8860386720031982,RBD Escape,grammaticality
SVR-RBF,0.0713519784976725,0.05532020099815852,RBD Escape,grammaticality
Linear,0.023077596132319203,0.5358476103325551,RBD Escape,grammaticality
SVR-RBF,0.10909618499527653,0.0033343324462251104,RBD Escape,grammaticality
Linear,0.05933667203266212,0.11140411323686701,RBD Escape,grammaticality
SVR-RBF,0.05142387778337002,0.1677954352417705,RBD Escape,grammaticality
Linear,0.023022938029796002,0.5370973463922761,RBD Escape,grammaticality
SVR-RBF,0.06660593102582721,0.07388136506359855,RBD Escape,grammaticality
Linear,0.049605426442959726,0.18335840836193049,RBD Escape,grammaticality
SVR-RBF,0.011774582086283668,0.7522857250848425,RBD Escape,grammaticality
Linear,-0.0060253583897938836,0.871603003717428,RBD Escape,grammaticality
SVR-RBF,0.03197101645060563,0.39100630024032457,RBD Escape,grammaticality
Linear,-0.02023075252486855,0.5873259466602809,RBD Escape,grammaticality
SVR-RBF,0.08929332854289412,0.016397076180017314,RBD Escape,grammaticality
Linear,0.09095291883259501,0.014563921852272763,RBD Escape,grammaticality
SVR-RBF,0.057670395969484256,0.12183086176258624,RBD Escape,grammaticality
Linear,-0.01123967942339241,0.7631952888209679,RBD Escape,grammaticality
SVR-RBF,0.00021428763528647882,0.9954170171770222,RBD Escape,grammaticality
Linear,-0.09885417186020568,0.007900790436939944,RBD Escape,grammaticality
SVR-RBF,0.07913000820211304,0.03363668698307549,RBD Escape,grammaticality
